name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
,IIRT_Omega_Sinus,正弦,未知,damper_omega,10,2000,500,4000,5000,400,60,,200,250,200,120,360,200,OMNI,,150,0,0.5,,,0,0,10,300,1,50,12,100000,20,5,,,8,8,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,2,,
,IIRT_Omega_Cosinus,余弦,未知,damper_omega,12,2300,700,4000,5000,400,90,,170,250,200,120,360,200,OMNI,,150,0,0.5,,,0,0,10,400,1,50,12,100000,20,5,,,21,21,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,2,,
,IIRT_Omega_Tangento,正切,未知,damper_omega,20,5000,800,5000,4000,500,160,,130,150,150,60,180,400,OMNI,,150,0,0.5,,,0,0,20,500,2,50,11,200000,20,5,,,38,38,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IIRT_Omega_Torsion_2,扭矩,未知,microburn_omega,12,2000,900,4000,5000,300,70,,160,250,200,120,360,200,OMNI,,150,0,0.5,,,0,0,10,400,1,50,12,100000,20,5,,,8,8,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Watcher, Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,2,,
,IIRT_Omega_Tranquil,宁静,未知,IIRT_Omega_WingMan_Black,12,1750,500,3500,5000,230,30,,200,250,200,120,360,200,OMNI,,150,0,0.5,,,0,0,10,400,1,50,12,100000,20,5,,,8,8,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Watcher, Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,2,,
,IIRT_Omega_Riots,缭乱,未知,displacer,12,1750,500,3500,5000,230,35,,200,250,200,120,360,200,OMNI,,150,0,0.5,,,0,0,10,400,1,50,12,100000,20,5,,,8,8,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Watcher, Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,2,,
,IIRT_Omega_Bustle,喧嚣,未知,microburn_omega,12,1550,500,3500,5000,230,55,,200,250,200,120,360,200,OMNI,,150,0,0.5,,,0,0,10,400,1,50,12,100000,20,5,,,8,8,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Watcher, Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,2,,
,IIRT_Omega_Deplorable,可叹,未知,temporalshell,12,1550,500,3500,5000,230,50,,200,250,200,120,360,200,OMNI,,150,0,0.5,,,0,0,10,400,1,50,12,100000,20,5,,,8,8,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Watcher, Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,2,,
#乱码尸骸(未完成),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IIRT_Omega_Pupal,机蛹,未知,microburn_omega,,350,300,1000,,200,0,,320,350,350,120,360,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,"Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,,,,,
,PTSD_Ring,环带,未知,IIRT_Omega_PupalSwarm,16,2000,500,4000,5000,250,40,,210,250,200,120,360,200,OMNI,,150,0,0.5,,,0,0,10,400,1,50,12,100000,20,5,,,6,6,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Watcher, Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,2,,
,IIRT_Omega_Inspect,侦察,未知,IIRT_Omega_PupalSwarm,16,2000,500,4000,5000,250,40,,210,250,200,120,360,200,OMNI,,150,0,0.5,,,0,0,10,400,1,50,12,100000,20,5,,,6,6,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Watcher, Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,2,,
,IIRT_Omega_Boltzmann,玻尔兹曼,未知,IIRT_Omega_PupalSwarm_2,25,5000,800,9000,6000,400,100,,140,180,180,100,250,500,FRONT,,180,0,0.5,,,0,0,50,300,1,20,11,300000,20,5,,,20,20,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, Omega_System_Type_II, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,2,,
,IIRT_Omega_DevilFork,音叉,未知,IIRT_Omega_ShockWave,40,8500,1000,12000,13333,800,170,,100,100,100,40,135,1930,OMNI,,150,0,0.5,,,0,0,120,600,3,20,11,500000,20,5,,,38,38,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,3,,
,IIRT_Omega_RedShift,红移,未知,phaseteleporter,35,3850,1000,8000,5000,800,115,,210,250,250,120,360,400,PHASE,phasecloak,90,,,-0.125,0.025,10,50,10,200,1,50,10,100000,9,20,200,0.25,20,20,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IIRT_Omega_Spectrum,光谱蝶,未知,temporalshell,35,3850,1000,8000,5000,800,115,,210,250,250,120,360,400,PHASE,phasecloak,90,,,-0.125,0.025,10,50,10,200,1,50,10,100000,9,20,200,0.25,20,20,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,1,,
#热寂死界,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IIRT_Omega_Nihility,空无,未知,temporalshell,,350,300,9000,,200,0,,320,350,350,130,360,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,"no_autofit, restricted,iirt_all_bp, no_sell",,,,,,,,
,IIRT_Omega_Heatdeath,热寂,未知,temporalshell,18,2000,600,5500,5000,300,50,,200,250,200,110,360,200,OMNI,,130,0,0.5,,,0,0,10,400,1,50,12,100000,20,5,,,18,18,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Gonor, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,2,,
,IIRT_Omega_Singularity,奇点,未知,temporalshell,30,4000,800,9000,6000,800,115,,200,250,200,110,360,320,OMNI,,130,0,0.5,,,0,0,10,400,1,50,12,100000,20,5,,,30,30,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Gonor, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#运输体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IIRT_Omega_Cube,超晶格,未知,displacer,70,1000,400,6000,3800,400,80,,140,250,200,120,360,200,OMNI,,360,0,0.5,,,0,0,5000,700,1,50,12,100000,20,5,,,70,70,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,3,,
,IIRT_Omega_Inner,内形,未知,displacer,12,500,300,2100,1800,250,40,,100,250,200,120,360,60,OMNI,,360,0,0.5,,,0,0,800,900,1,50,12,100000,20,5,,,7,7,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Watcher, Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IIRT_Omega01,无形,未知,temporalshell,40,10000,1500,13000,25000,1700,180,,100,120,120,45,135,2000,OMNI,,150,0,0.5,,,0,0,40,150,3,50,11,500000,20,5,,,24,24,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted",,,,0.5,2,5,,
,IIRT_Omega_Heart,心脉,未知,microburn_omega,40,3000,300,15000,25000,1500,190,,100,50,120,45,60,2000,OMNI,,150,0,0.5,,,0,0,40,150,3,50,11,500000,20,5,,,70,70,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted",,,,0.5,2,5,,
#新迪威胁
,PTSD_Threat_Tiny,Wonder Unit,Threat,energy_lash,5,1250,300,2250,2500,200,1000,,130,150,100,60,90,250,FRONT,,150,0.4,1.2,,,0,0,10,50,0.25,200,10,10000,100,10,,,4,4,,,,,,,UNBOARDABLE,"threat, threat_combat, threat_skirmish, codex_unlockable, limited_tooltip_if_locked",,,,0.5,2,2,,231
,PTSD_Threat_Reconnaissance,Reconnaissance Unit,Threat,incursion_mode,12,7000,1000,6000,5000,400,1000,,90,90,80,30,60,500,FRONT,,150,0.4,1.2,,,0,0,80,100,0.5,200,9,80000,100,10,,,10,10,,,,,,,UNBOARDABLE,"threat, threat_aggressive, threat_combat, codex_unlockable, limited_tooltip_if_locked",,,,0.5,2,2,,322
,PTSD_Threat_Reverse,Reverse Unit,Threat,extraction_protocol,18,18000,1700,12000,11667,700,1000,,70,70,60,15,30,500,FRONT,,130,0.4,1.2,,,0,0,120,150,0.75,200,9,150000,100,10,,,20,20,,,,,,,UNBOARDABLE,"threat, threat_combat, codex_unlockable, limited_tooltip_if_locked",,,,0.5,2,3,,418
#戳啦，事垃圾桶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Omega_Scrap_Heap,要塞,未知,damper_omega,80,20000,1800,33000,25000,2500,550,1,65,30,20,45,60,5000,OMNI,,150,0,1,,,0,0,1000,1000,3,50,9,1500000,20,5,,,90,90,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted",,,,0.5,4,10,,
作战基地,IIRT_Lab_station3_hightech_KRM,星际要塞,,drone_station_high,400,160000,2400,1000,2500,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IIRT_Omega_Weapon_Platfrom_1,稳定器平台,,,1,7000,1400,7500,7500,400,1000,1,0,0,0,10,10,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,,,0.5,2,2,,
,IIRT_Omega_Weapon_Platfrom_2,稳定器平台,,,1,7000,1400,8000,7500,400,1000,,0,0,0,10,10,2000,FRONT,,260,0,0.5,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,,,0.5,2,2,,
核束缚体,IIRT_Omega_Station,凝聚体网络,,IIRT_Omega_phaseteleporter,800,160000,2400,100000,2500,100,30,2,30,200,200,7,2,5000,OMNI,,360,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",restricted,,,,0,,,,
,IIRT_Omega_Station_move,凝聚体网络,,IIRT_Omega_phaseteleporter,800,160000,2400,100000,2500,100,30,2,30,200,200,7,2,5000,OMNI,,360,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#多可爱呀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
欧劳鸟,IIRT_Omega_Shrike,大概是护卫舰,未知,microburn_omega,9,2800,250,5400,5833,350,90,,120,240,240,50,100,250,OMNI,,150,0.2,0.65,,,20,40,40,60,2,30,10,80000,5,15,300,0.25,12,12,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,,,0.7,2,3,,
仓叙,heaxu,小飞机船,未知,targetingfeed,14,6000,750,5000,6000,300,100,3,80,60,40,20,25,800,OMNI,,180,0.5,0.8,,,150,250,90,60,3,20,8,120000,3,12,360,0.25,20,20,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,,,0.5,2,3,,
矢刃羽,pura,,未知,,,500,75,200,,100,0,,150,200,200,40,120,30,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
气压,IIRT_TDB_qiYa,涂鸦,未知,,10,3000,300,8000,6667,550,55,,100,90,60,40,100,300,OMNI,,180,0.3,0.8,,,0,0,50,40,2,20,9,20000,5,20,300,0.25,13,13,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,,,0.5,2,2,,
纸升机,IIRT_FSF_Helico,涂鸦,未知,,,500,150,500,300,100,30,,200,100,180,140,100,40,NONE,,0,0,0,,,2,6,50,40,0,20,10,20000,1,5,,,1,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,,,0.25,2,6,,
#SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
机体护盾背包,IIRT_Lab_ShieldBackpack,,克劳斯姆概念,plasmajets,0,300,100,500,500,70,0,,340,600,600,180,360,25,OMNI,,90,0,1,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,restricted,,0,
